"","RMSE","MAE","MAPE","MASE"
"Linear",0.585929898359856,0.464977936694551,8.6633208626342,0.729377155599295
"Stepwise",0.587207655372251,0.464616620955214,8.65633279353263,0.728810385812101
"Nonlinear",0.583489663346775,0.460773787986081,8.61996958349672,0.722782412527185
"Nonlinear plus stepwise",0.584340897505496,0.461045024740978,8.61331789707969,0.723207881946632
