,RMSE,MAE,MAPE,MASE,ACF
Regression,17143.018,13558.705,29.609,2.939,0.807
Log Regression,8652.580,7750.469,19.550,1.680,0.669
Exp Smoothing,12753.083,9347.915,19.516,2.026,0.876
ARIMA,6286.037,3821.393,7.825,0.828,0.694
