"","RMSE","MAE","MAPE","MASE",""
"","RMSE","MAE","MAPE","MASE","WineMakerLoss"
"RF_100_2_5","0.509321582066118","0.386847916666667","7.3001691468254","0.606820261437908","72.6790858134921"
"RF_100_2_10","0.517372525064136","0.39642435515873","7.47794677845096","0.621842125739185","74.9855119342876"
"RF_100_2_15","0.522261365374473","0.401840027940809","7.57744744343991","0.630337298730681","74.9491318615247"
"RF_100_2_20","0.530645792357064","0.414346071321636","7.80292017723364","0.649954621680998","75.5163131469303"
"RF_100_3_5","0.509080376024722","0.382400520833333","7.20515959821428","0.599843954248366","69.014459077381"
"RF_100_3_10","0.521778335194465","0.399707452876984","7.53046308844718","0.626992082944289","73.1612116933579"
"RF_100_3_15","0.516515734234845","0.397867857923327","7.5048918742984","0.624106443801297","74.4435692117902"
"RF_100_3_20","0.526492730139142","0.407268392456223","7.65405461892959","0.638852380323486","75.6249250524699"
"RF_100_4_5","0.512057827036329","0.3821375","7.22416871279762","0.59943137254902","71.7970979662698"
"RF_100_4_10","0.52151172719206","0.395508891369048","7.45286467338672","0.62040610410831","73.1802031840514"
"RF_100_4_15","0.522953081979839","0.399660151480464","7.52217893428496","0.626917884675238","74.9084204768859"
"RF_100_4_20","0.521435718754863","0.407105540618437","7.6439804667019","0.638596926460294","71.9779397356846"
"RF_100_5_5","0.516954633375841","0.383324479166667","7.23424125744048","0.601293300653595","71.379714781746"
"RF_100_5_10","0.519180179542762","0.392478571428572","7.39600456024424","0.615652661064426","71.5206134908825"
"RF_100_5_15","0.519698485652796","0.397042059936591","7.45679111636338","0.622811074410339","70.0915582724567"
"RF_100_5_20","0.522741820430595","0.402686747931694","7.57570104338904","0.631665486951677","73.224129111531"
"RF_100_6_5","0.510864237442025","0.37929375","7.16106237599206","0.594970588235294","70.5576292162698"
"RF_100_6_10","0.515431104922303","0.386821651785714","7.29187181860592","0.60677906162465","70.6759814106198"
"RF_100_6_15","0.52332350219046","0.399860429674492","7.53050736198532","0.627232046548223","71.7577432688013"
"RF_100_6_20","0.524082387534914","0.398611484093392","7.50302516549905","0.625272916224929","70.570798264591"
"RF_100_7_5","0.511623620780235","0.379459375","7.16570709325397","0.595230392156863","69.3889050099206"
"RF_100_7_10","0.511409829806765","0.386074789186508","7.27105443505527","0.605607512449424","69.2586578266723"
"RF_100_7_15","0.514628889980015","0.391158837950244","7.37440176183563","0.613582490902344","70.3699669234535"
"RF_100_7_20","0.530612439829298","0.402517036579154","7.56708650988504","0.63139927306534","74.5950345193914"
"RF_100_8_5","0.509154170519735","0.377265104166667","7.12997073412699","0.591788398692811","67.855564484127"
"RF_100_8_10","0.518864812046079","0.38821613343254","7.31934050807823","0.608966483815748","69.5409270656179"
"RF_100_8_15","0.519044683997245","0.392322157790126","7.39252447923067","0.615407306337453","70.9436262257914"
"RF_100_8_20","0.527094426761137","0.401266648076618","7.54620032612407","0.629437879335872","73.2669825467492"
"RF_100_9_5","0.50941138332911","0.376205208333333","7.0937306547619","0.590125816993464","67.5328487103175"
"RF_100_9_10","0.515935773022334","0.389863343253968","7.35921653557256","0.611550342359166","69.4561876830593"
"RF_100_9_15","0.521158358435774","0.395365076503358","7.44276986542723","0.62018051216213","70.7861829951216"
"RF_100_9_20","0.522415418992886","0.396501361459828","7.43626589707744","0.621962919936986","67.8710555645366"
"RF_100_10_5","0.50403357110277","0.3746","7.08553515625","0.587607843137255","66.6637517361111"
"RF_100_10_10","0.519032485775546","0.385547085813492","7.28366209904101","0.604779742452537","72.0380471643519"
"RF_100_10_15","0.519331295461006","0.394228141216422","7.42416283616144","0.618397084261055","70.3461281682108"
"RF_100_10_20","0.525404111882897","0.399259573112539","7.5029713716108","0.626289526451041","71.570772516062"
"RF_100_11_5","0.511040213511998","0.377225","7.12015773809524","0.591725490196078","67.5130049603175"
"RF_100_11_10","0.512100980324978","0.379662748015873","7.17031255019369","0.59554940865235","69.4348871409675"
"RF_100_11_15","0.514150034786457","0.389490672088328","7.32631072031267","0.610965760138554","68.523683384324"
"RF_100_11_20","0.519523681796314","0.393584974672435","7.40973543736621","0.617388195564604","71.655442466854"
"RF_200_2_5","0.510047937306578","0.385442708333333","7.28673173983135","0.604616013071895","73.9795657242064"
"RF_200_2_10","0.515280464247291","0.394880902777778","7.44564202156557","0.619421023965142","74.1290073902825"
"RF_200_2_15","0.523119951028111","0.404254062560703","7.61334173220236","0.634124019703064","74.7520044118621"
"RF_200_2_20","0.531452632893714","0.415221194797379","7.82020509568352","0.651327364388046","76.6921357699948"
"RF_200_3_5","0.509259323585591","0.384284635416667","7.24730648561508","0.602799428104575","69.4805907738095"
"RF_200_3_10","0.516474476862138","0.394213045634921","7.43626792726639","0.618373404917523","74.324745207979"
"RF_200_3_15","0.519936158663887","0.399400873518842","7.52499930793207","0.626511174147204","74.4285796489597"
"RF_200_3_20","0.52845349123985","0.408824785413232","7.69038714403821","0.641293781040364","75.2897197953465"
"RF_200_4_5","0.50944865918935","0.381563802083333","7.20338947792659","0.598531454248366","71.0976262400794"
"RF_200_4_10","0.518065139545959","0.393864527529762","7.42155657050146","0.617826709850607","72.0030338512141"
"RF_200_4_15","0.521862578120464","0.398669335048632","7.50449165002388","0.625363662821384","72.3212745548722"
"RF_200_4_20","0.52006100364305","0.403036029765285","7.58061265834168","0.632213380023976","72.1818060801415"
"RF_200_5_5","0.5090188911135","0.379594791666667","7.16429104662699","0.595442810457516","69.3794334077381"
"RF_200_5_10","0.517262606363622","0.390226804315476","7.35800226535927","0.61212047735761","70.4802682882181"
"RF_200_5_15","0.518894293615718","0.395368700830419","7.43330073295586","0.62018619738105","71.8043241567254"
"RF_200_5_20","0.523430470458942","0.402100133251547","7.55831948465441","0.63074530706125","71.089184213221"
